COD_CIUDAD_MUNI,CIUDAD_MUNICIPIO,Amenaza,Desplazamiento forzado,Homicidio
0.0,SIN DEFINIR,952.0,5160.725,6463.829
5.001,Medellin,4719.378,15764.119,5792.28
5.002,Abejorral,553.0,4317.233,1133.0
5.004,Abriaqui,68.0,2037.0,354.0
5.021,Alejandria,197.0,3733.636,678.0
5.03,Amaga,396.0,2269.0,1185.0
5.031,Amalfi,1320.0,3947.535,2134.0
5.034,Andes,853.0,4450.084,2741.0
5.036,Angelopolis,143.0,1903.0,356.0
5.038,Angostura,436.0,4710.0,818.0
5.04,Anori,1096.0,6218.987,1644.0
5.042,Santafe De Antioquia,370.0,4302.0,1272.0
5.044,Anza,229.0,4027.024,799.0
5.045,Apartado,4349.0,11915.702,2953.623
5.051,Arboletes,763.0,7782.387,1386.0
5.055,Argelia,1089.0,3016.098,1946.0
5.059,Armenia,197.0,821.0,288.0
5.079,Barbosa,661.0,3888.081,2317.0
5.086,Belmira,116.0,714.0,298.0
5.088,Bello,2006.0,5301.694,1787.618
5.091,Betania,562.0,3587.0,1050.0
5.093,Betulia,769.0,5325.2519999999995,1476.0
5.101,Ciudad Bolivar,687.0,4412.145,2317.0
5.107,Brice̱o,2410.0,4303.134,1016.0
5.113,Buritica,547.0,4473.885,413.0
5.12,Caceres,4413.046,8789.447,2145.0
5.125,Caicedo,357.0,3733.0,860.0
5.129,Caldas,291.0,1888.0,1937.0
5.134,Campamento,1093.0,3601.007,1359.0
5.138,Ca̱asgordas,743.0,4101.919,1874.0
5.142,Caracoli,231.0,1223.0,398.0
5.145,Caramanta,130.0,827.0,454.0
5.147,Carepa,1867.0,6331.366,3280.004
5.148,El Carmen De Viboral,251.0,4192.225,2780.0
5.15,Carolina,43.0,498.0,266.0
5.154,Caucasia,4265.258,7768.794,3132.0
5.172,Chigorodo,2364.0,10924.236,4301.323
5.19,Cisneros,115.0,1356.0,895.0
5.197,Cocorna,674.0,4341.191,3211.0
5.206,Concepcion,111.0,3526.0,513.0
5.209,Concordia,1021.0,3890.064,1288.0
5.212,Copacabana,127.0,1176.0,1870.0
5.234,Dabeiba,3059.0,7774.489,3941.0
5.237,Donmatias,158.0,674.0,514.0
5.24,Ebejico,218.0,1333.0,498.0
5.25,El Bagre,4888.0,10985.431,1510.0
5.264,Entrerrios,34.0,275.0,163.0
5.266,Envigado,177.0,699.0,2281.0
5.282,Fredonia,131.0,990.0,862.0
5.284,Frontino,830.0,8736.25,2071.0
5.306,Giraldo,201.0,953.0,341.0
5.308,Girardota,169.0,1310.0,1445.0
5.31,Gomez Plata,124.0,943.0,480.0
5.313,Granada,919.0,4871.2,2814.0
5.315,Guadalupe,197.0,1641.0,643.0
5.318,Guarne,181.0,1437.0,1624.0
5.321,Guatape,99.0,2128.0,434.0
5.347,Heliconia,169.0,2217.0,507.0
5.353,Hispania,63.0,377.0,349.0
5.36,Itagui,911.0,4545.277,1029.964
5.361,Ituango,3676.124,4961.381,3401.0
5.364,Jardin,263.0,1930.0,1242.0
5.368,Jerico,38.0,342.0,288.0
5.376,La Ceja,133.0,2592.0,2449.0
5.38,La Estrella,224.0,855.0,1395.0
5.39,La Pintada,202.0,1203.0,440.0
5.4,La Union,182.0,5263.626,1502.0
5.411,Liborina,709.0,3783.373,685.0
5.425,Maceo,641.0,3163.0,1146.0
5.44,Marinilla,241.0,4324.0,1895.0
5.467,Montebello,163.0,3949.087,613.0
5.475,Murindo,502.0,6084.0,126.0
5.48,Mutata,2211.0,11560.441,2859.0
5.483,Nari̱o,880.0,3682.093,1777.0
5.49,Necocli,1464.0,7780.628,2649.0
5.495,Nechi,1309.0,6652.1630000000005,685.0
5.501,Olaya,95.0,513.0,325.0
5.541,Pe̱ol,244.0,3688.468,1083.0
5.543,Peque,454.0,4125.641,950.0
5.576,Pueblorrico,146.0,1668.0,601.0
5.579,Puerto Berrio,1610.0,4688.982,3149.064
5.585,Puerto Nare,267.0,2870.0,1187.0
5.591,Puerto Triunfo,210.0,2388.0,947.0
5.604,Remedios,1650.0,5871.198,3702.0
5.607,Retiro,38.0,746.0,740.0
5.615,Rionegro,319.0,2402.0,2771.163
5.628,Sabanalarga,1513.0,4739.745,648.0
5.631,Sabaneta,96.0,433.0,443.0
5.642,Salgar,1189.0,3961.432,1961.0
5.647,San Andres De Cuerquia,882.0,4638.0,836.0
5.649,San Carlos,871.0,4698.258,2153.096
5.652,San Francisco,485.0,4219.125,1436.0
5.656,San Jeronimo,116.0,1184.0,1015.0
5.658,San Jose De La Monta̱a,133.0,1123.0,233.0
5.659,San Juan De Uraba,532.0,8060.262,631.0
5.66,San Luis,453.0,4587.813,2298.0
5.664,San Pedro De Los Milagros,230.0,5641.739,812.0
5.665,San Pedro De Uraba,744.0,7735.115,1358.0
5.667,San Rafael,610.0,4860.257,2376.0
5.67,San Roque,468.0,4043.246,1853.0
5.674,San Vicente,507.0,4524.041,953.0
5.679,Santa Barbara,224.0,3524.0,1491.0
5.686,Santa Rosa De Osos,426.0,2707.0,1382.0
5.69,Santo Domingo,375.0,4113.105,2240.0
5.697,El Santuario,272.0,4270.206,1930.0
5.736,Segovia,3623.0,7578.417,2691.599
5.756,Sonson,932.0,3992.177,3349.0
5.761,Sopetran,233.0,1632.0,1561.0
5.789,Tamesis,212.0,2207.0,1179.0
5.79,Taraza,4993.107,8226.895,2310.236
5.792,Tarso,109.0,615.0,365.0
5.809,Titiribi,120.0,762.0,730.0
5.819,Toledo,787.0,4902.0,762.0
5.837,Turbo,6410.0,12527.38,3624.83
5.842,Uramita,398.0,4587.799,1208.0
5.847,Urrao,1659.0,9790.682,1851.093
5.854,Valdivia,2534.0,6168.644,3430.0
5.856,Valparaiso,67.0,545.0,331.0
5.858,Vegachi,781.0,4002.4610000000002,1740.0
5.861,Venecia,222.0,1170.0,494.0
5.873,Vigia Del Fuerte,530.0,8938.047,240.0
5.885,Yali,199.0,2187.0,1036.0
5.887,Yarumal,1827.0,4357.61,2471.02
5.89,Yolombo,591.0,4645.021,2674.0
5.893,Yondo,614.0,6564.624,955.0
5.895,Zaragoza,2010.0,9367.404,1547.0
8.001,Barranquilla,1653.0,5895.291,2528.57
8.078,Baranoa,86.0,782.0,323.0
8.137,Campo De La Cruz,28.0,203.0,55.0
8.141,Candelaria,0.0,90.0,33.0
8.296,Galapa,49.0,693.0,183.0
8.372,Juan De Acosta,14.0,125.0,60.0
8.421,Luruaco,160.0,940.0,342.0
8.433,Malambo,253.0,1513.0,514.0
8.436,Manati,26.0,222.0,45.0
8.52,Palmar De Varela,16.0,148.0,28.0
8.549,Piojo,31.0,527.0,34.0
8.558,Polonuevo,8.0,205.0,98.0
8.56,Ponedera,36.0,262.0,197.0
8.573,Puerto Colombia,49.0,234.0,125.0
8.606,Repelon,54.0,1499.0,190.0
8.634,Sabanagrande,83.0,636.0,189.0
8.638,Sabanalarga,105.0,1204.0,679.0
8.675,Santa Lucia,6.0,172.0,38.0
8.685,Santo Tomas,37.0,242.0,159.0
8.758,Soledad,771.0,4234.0,2199.0
8.77,Suan,20.0,141.0,31.0
8.832,Tubara,15.0,249.0,134.0
8.849,Usiacuri,5.0,40.0,35.0
11.001,"Bogota, D.C.",4801.0,6755.553,3169.326
13.001,Cartagena,1469.0,8001.627,3300.0
13.006,Achi,2545.0,5718.129,371.0
13.03,Altos Del Rosario,291.0,6439.449,161.0
13.042,Arenal,920.0,6346.244,332.0
13.052,Arjona,430.0,3330.0,601.0
13.062,Arroyohondo,115.0,1298.0,109.0
13.074,Barranco De Loba,1176.0,6629.634,389.0
13.14,Calamar,738.0,4773.064,544.0
13.16,Cantagallo,342.0,5978.778,277.0
13.188,Cicuco,65.0,1018.0,31.0
13.212,Cordoba,469.0,5810.127,923.0
13.222,Clemencia,138.0,1722.0,123.0
13.244,El Carmen De Bolivar,2402.0,12430.306,2483.322
13.248,El Guamo,360.0,4478.005,230.0
13.268,El Pe̱on,196.0,2599.0,50.0
13.3,Hatillo De Loba,119.0,1301.0,58.0
13.43,Magangue,1369.0,4383.701,1214.0
13.433,Mahates,478.0,6711.0,303.0
13.44,Margarita,119.0,1111.0,157.0
13.442,Maria La Baja,1773.0,6533.143,1046.0
13.458,Montecristo,3277.0,7300.176,420.0
13.468,Mompos,253.0,3974.0,408.0
13.473,Morales,1251.0,4165.251,666.0
13.49,Norosi,866.0,4686.261,165.0
13.549,Pinillos,457.0,4505.073,143.0
13.58,Regidor,141.0,4040.0,107.0
13.6,Rio Viejo,481.0,6823.43,219.0
13.62,San Cristobal,37.0,824.0,93.0
13.647,San Estanislao,110.0,1686.0,107.0
13.65,San Fernando,35.0,762.0,66.0
13.654,San Jacinto,870.0,7972.687,1298.0
13.655,San Jacinto Del Cauca,352.0,4885.0,187.0
13.657,San Juan Nepomuceno,818.0,5934.407,1311.0
13.667,San Martin De Loba,969.0,5567.08,411.0
13.67,San Pablo,1612.0,5618.699,1952.0
13.673,Santa Catalina,87.0,1177.0,161.0
13.683,Santa Rosa,856.0,5944.478,660.0
13.688,Santa Rosa Del Sur,1983.0,5696.5380000000005,838.0
13.744,Simiti,1266.0,3644.982,1041.0
13.76,Soplaviento,44.0,345.0,39.0
13.78,Talaigua Nuevo,51.0,913.0,60.0
13.81,Tiquisio,1103.0,6501.204,575.0
13.836,Turbaco,328.0,3964.0,672.0
13.838,Turbana,127.0,934.0,230.0
13.873,Villanueva,229.0,5657.049,453.0
13.894,Zambrano,694.0,9156.223,725.0
15.001,Tunja,82.0,358.0,215.0
15.022,Almeida,7.0,51.0,31.0
15.047,Aquitania,92.0,973.0,243.0
15.051,Arcabuco,2.0,10.0,14.0
15.087,Belen,40.0,196.0,109.0
15.09,Berbeo,21.0,158.0,38.0
15.092,Beteitiva,0.0,21.0,3.0
15.097,Boavita,2.0,112.0,19.0
15.104,Boyaca,18.0,268.0,23.0
15.106,Brice̱o,7.0,124.0,59.0
15.109,Buenavista,5.0,160.0,46.0
15.114,Busbanza,0.0,4.0,0.0
15.131,Caldas,1.0,23.0,21.0
15.135,Campohermoso,40.0,677.0,104.0
15.162,Cerinza,2.0,36.0,11.0
15.172,Chinavita,9.0,127.0,23.0
15.176,Chiquinquira,42.0,459.0,135.0
15.18,Chiscas,174.0,736.0,149.0
15.183,Chita,178.0,1444.0,348.0
15.185,Chitaraque,4.0,163.0,10.0
15.187,Chivata,0.0,7.0,0.0
15.189,Cienega,2.0,8.0,10.0
15.204,Combita,1.0,17.0,2.0
15.212,Coper,8.0,113.0,32.0
15.215,Corrales,4.0,0.0,2.0
15.218,Covarachia,41.0,270.0,68.0
15.223,Cubara,152.0,1029.0,294.0
15.224,Cucaita,6.0,16.0,2.0
15.226,Cuitiva,2.0,17.0,8.0
15.232,Chiquiza,1.0,10.0,0.0
15.236,Chivor,33.0,342.0,75.0
15.238,Duitama,68.0,376.0,272.0
15.244,El Cocuy,90.0,425.0,170.0
15.248,El Espino,82.0,323.0,61.0
15.272,Firavitoba,0.0,9.0,8.0
15.276,Floresta,9.0,11.0,0.0
15.293,Gachantiva,1.0,16.0,9.0
15.296,Gameza,5.0,78.0,13.0
15.299,Garagoa,37.0,259.0,121.0
15.317,Guacamayas,6.0,73.0,13.0
15.322,Guateque,18.0,198.0,75.0
15.325,Guayata,6.0,157.0,48.0
15.332,Guican,104.0,432.0,134.0
15.362,Iza,0.0,25.0,12.0
15.367,Jenesano,0.0,36.0,0.0
15.368,Jerico,46.0,296.0,37.0
15.377,Labranzagrande,205.0,1704.0,425.0
15.38,La Capilla,5.0,46.0,2.0
15.401,La Victoria,14.0,67.0,39.0
15.403,La Uvita,22.0,135.0,28.0
15.407,Villa De Leyva,2.0,13.0,0.0
15.425,Macanal,20.0,199.0,97.0
15.442,Maripi,45.0,590.0,147.0
15.455,Miraflores,314.0,945.0,144.0
15.464,Mongua,25.0,289.0,62.0
15.466,Mongui,5.0,21.0,0.0
15.469,Moniquira,30.0,286.0,149.0
15.476,Motavita,6.0,11.0,0.0
15.48,Muzo,126.0,1279.0,473.0
15.491,Nobsa,6.0,47.0,12.0
15.494,Nuevo Colon,1.0,42.0,7.0
15.5,Oicata,0.0,6.0,0.0
15.507,Otanche,165.0,1847.0,640.0
15.511,Pachavita,1.0,15.0,24.0
15.514,Paez,202.0,2023.0,184.0
15.516,Paipa,10.0,89.0,38.0
15.518,Pajarito,154.0,1051.0,235.0
15.522,Panqueba,8.0,93.0,30.0
15.531,Pauna,102.0,814.0,549.0
15.533,Paya,101.0,754.0,117.0
15.537,Paz De Rio,6.0,85.0,11.0
15.542,Pesca,14.0,166.0,47.0
15.55,Pisba,57.0,563.0,100.0
15.572,Puerto Boyaca,734.0,5154.199,1481.0
15.58,Quipama,41.0,449.0,124.0
15.599,Ramiriqui,7.0,144.0,8.0
15.6,Raquira,5.0,11.0,5.0
15.621,Rondon,4.0,76.0,2.0
15.632,Saboya,3.0,54.0,24.0
15.638,Sachica,0.0,12.0,0.0
15.646,Samaca,18.0,81.0,0.0
15.66,San Eduardo,67.0,302.0,35.0
15.664,San Jose De Pare,3.0,74.0,20.0
15.667,San Luis De Gaceno,77.0,832.0,198.0
15.673,San Mateo,26.0,539.0,69.0
15.676,San Miguel De Sema,0.0,7.0,12.0
15.681,San Pablo De Borbur,81.0,890.0,385.0
15.686,Santana,14.0,180.0,43.0
15.69,Santa Maria,25.0,315.0,131.0
15.693,Santa Rosa De Viterbo,4.0,49.0,9.0
15.696,Santa Sofia,9.0,20.0,0.0
15.72,Sativanorte,24.0,123.0,28.0
15.723,Sativasur,2.0,28.0,0.0
15.74,Siachoque,0.0,25.0,0.0
15.753,Soata,10.0,178.0,6.0
15.755,Socota,57.0,794.0,189.0
15.757,Socha,48.0,309.0,44.0
15.759,Sogamoso,141.0,615.0,325.0
15.761,Somondoco,0.0,87.0,44.0
15.762,Sora,0.0,3.0,0.0
15.763,Sotaquira,7.0,29.0,0.0
15.764,Soraca,3.0,15.0,0.0
15.774,Susacon,3.0,160.0,101.0
15.776,Sutamarchan,0.0,12.0,0.0
15.778,Sutatenza,1.0,18.0,7.0
15.79,Tasco,6.0,78.0,32.0
15.798,Tenza,0.0,6.0,0.0
15.804,Tibana,0.0,55.0,2.0
15.806,Tibasosa,8.0,13.0,50.0
15.808,Tinjaca,0.0,5.0,14.0
15.81,Tipacoque,0.0,29.0,27.0
15.814,Toca,7.0,15.0,3.0
15.816,Togui,5.0,74.0,28.0
15.82,Topaga,9.0,20.0,0.0
15.822,Tota,2.0,20.0,16.0
15.832,Tunungua,15.0,78.0,26.0
15.835,Turmeque,0.0,12.0,4.0
15.837,Tuta,3.0,28.0,0.0
15.839,Tutaza,20.0,116.0,48.0
15.842,Umbita,6.0,90.0,15.0
15.861,Ventaquemada,1.0,39.0,16.0
15.879,Viracacha,0.0,6.0,1.0
15.897,Zetaquira,66.0,256.0,45.0
17.001,Manizales,336.0,4070.0,1918.0
17.013,Aguadas,201.0,3748.0,1030.0
17.042,Anserma,332.0,4393.0,1693.0
17.05,Aranzazu,65.0,775.0,390.0
17.088,Belalcazar,112.0,628.0,359.0
17.174,Chinchina,135.0,1615.0,895.0
17.272,Filadelfia,77.0,856.0,417.0
17.38,La Dorada,561.0,4609.0,3012.0
17.388,La Merced,161.0,1101.0,314.0
17.433,Manzanares,143.0,3262.0,589.0
17.442,Marmato,66.0,633.0,292.0
17.444,Marquetalia,225.0,4344.835,411.0
17.446,Marulanda,304.0,2077.0,166.0
17.486,Neira,91.0,1557.0,548.0
17.495,Norcasia,195.0,3797.0879999999997,177.0
17.513,Pacora,61.0,1664.0,256.0
17.524,Palestina,95.0,987.0,763.0
17.541,Pensilvania,1933.0,5285.854,1821.0
17.614,Riosucio,568.0,8271.677,2167.0
17.616,Risaralda,122.0,940.0,580.0
17.653,Salamina,210.0,3722.0,708.0
17.662,Samana,1387.0,4409.53,2759.0
17.665,San Jose,30.0,425.0,81.0
17.777,Supia,155.0,1930.0,1419.0
17.867,Victoria,141.0,1360.0,378.0
17.873,Villamaria,208.0,932.0,414.0
17.877,Viterbo,105.0,737.0,879.0
18.001,Florencia,3057.317,5640.551,1962.627
18.029,Albania,1099.0,4522.095,743.0
18.094,Belen De Los Andaquies,2071.0,4492.5199999999995,1089.0
18.15,Cartagena Del Chaira,3618.52,5879.266,2251.0
18.205,Curillo,1634.0,7026.364,2346.0
18.247,El Doncello,1856.0,5760.5380000000005,2105.0
18.256,El Paujil,1560.0,5256.387,1870.0
18.41,La Monta̱ita,3236.017,3398.152,2287.0
18.46,Milan,1927.0,5468.235,1430.0
18.479,Morelia,449.0,3714.0,553.0
18.592,Puerto Rico,4040.0,4040.723,3504.0
18.61,San Jose Del Fragua,2327.0,5934.546,1747.0
18.753,San Vicente Del Caguan,5059.785,7278.283,1935.046
18.756,Solano,2461.0,7516.772,1071.0
18.785,Solita,1247.0,6257.954,1449.0
18.86,Valparaiso,1326.0,6523.655,1783.0
19.001,Popayan,1746.0,5384.843,2128.289
19.022,Almaguer,1126.0,5747.749,1286.0
19.05,Argelia,4421.766,6416.196,3276.0
19.075,Balboa,1629.0,5739.396,2492.0
19.1,Bolivar,2332.0,7567.18,2787.643
19.11,Buenos Aires,3393.0,15805.652,1399.0
19.13,Cajibio,2166.0,7478.888,1277.0
19.137,Caldono,968.0,7483.0,898.0
19.142,Caloto,1686.0,11070.0,2099.0
19.212,Corinto,2352.0,9315.925,4148.0
19.256,El Tambo,4222.113,8752.272,2969.023
19.29,Florencia,383.0,2091.0,499.0
19.3,Guachene,398.0,738.0,221.0
19.318,Guapi,4818.0,8886.068,569.0
19.355,Inza,1043.0,4308.0,406.0
19.364,Jambalo,2450.0,6206.135,490.0
19.392,La Sierra,718.0,4231.0,793.0
19.397,La Vega,1583.0,9227.423,1655.0
19.418,Lopez,1202.0,8369.507,379.0
19.45,Mercaderes,1020.0,6088.244,2928.0
19.455,Miranda,1337.0,7993.085,2120.0
19.473,Morales,2091.0,10585.319,667.0
19.513,Padilla,249.0,615.0,230.0
19.517,Paez,1234.0,8447.0,819.0
19.532,Patia,2010.0,8141.68,3955.0
19.533,Piamonte,1414.0,5438.308,792.0
19.548,Piendamo,753.0,3275.0,561.0
19.573,Puerto Tejada,661.0,3106.0,1951.0
19.585,Purace,287.0,2306.0,388.0
19.622,Rosas,573.0,4046.0,807.0
19.693,San Sebastian,880.0,4211.0,481.0
19.698,Santander De Quilichao,2634.0,9229.904,3271.0370000000003
19.701,Santa Rosa,975.0,5627.028,477.0
19.743,Silvia,553.0,3023.0,551.0
19.76,Sotara,449.0,2770.0,484.0
19.78,Suarez,2115.0,17361.202,881.0
19.785,Sucre,614.0,3763.0,648.0
19.807,Timbio,1092.0,4608.4890000000005,1378.0
19.809,Timbiqui,3033.0,12931.083,320.0
19.821,Toribio,1531.0,8703.653,1225.0
19.824,Totoro,401.0,1535.0,232.0
19.845,Villa Rica,221.0,668.0,231.0
20.001,Valledupar,2560.0,15550.261,3567.431
20.011,Aguachica,1019.0,5584.532,2803.0969999999998
20.013,Agustin Codazzi,929.0,6672.154,2988.054
20.032,Astrea,306.0,4234.907,805.0
20.045,Becerril,644.0,8497.396,1591.0
20.06,Bosconia,294.0,5291.749,1637.0
20.175,Chimichagua,883.0,5591.249,1018.0
20.178,Chiriguana,1913.0,5861.294,1210.0
20.228,Curumani,848.0,8549.172,2725.0
20.238,El Copey,507.0,6735.862,2167.0
20.25,El Paso,843.0,5318.255,1049.0
20.295,Gamarra,151.0,2331.0,558.0
20.31,Gonzalez,184.0,1027.0,147.0
20.383,La Gloria,430.0,4703.861,974.0
20.4,La Jagua De Ibirico,429.0,8961.918,2070.0
20.443,Manaure,259.0,4168.0,285.0
20.517,Pailitas,1638.0,7953.475,1524.0
20.55,Pelaya,919.0,5624.274,1609.0
20.57,Pueblo Bello,221.0,7696.648,1098.0
20.614,Rio De Oro,202.0,2669.0,663.0
20.621,La Paz,789.0,5273.941,1329.0
20.71,San Alberto,357.0,5769.605,1658.0
20.75,San Diego,442.0,5346.505,1331.0
20.77,San Martin,292.0,4404.186,1344.0
20.787,Tamalameque,588.0,3860.0,459.0
23.001,Monteria,3294.0,7582.7880000000005,1642.4660000000001
23.068,Ayapel,2386.0,6171.479,726.0
23.079,Buenavista,480.0,4703.118,798.0
23.09,Canalete,442.0,5289.843,789.0
23.162,Cerete,656.0,2983.0,747.0
23.168,Chima,189.0,962.0,162.0
23.182,Chinu,149.0,3343.0,598.0
23.189,Cienaga De Oro,399.0,2400.0,514.0
23.3,Cotorra,44.0,500.0,67.0
23.35,La Apartada,374.0,3477.0,279.0
23.417,Lorica,960.0,5839.272,766.0
23.419,Los Cordobas,216.0,4796.0,558.0
23.464,Momil,98.0,958.0,169.0
23.466,Montelibano,4207.0,11988.677,2465.0
23.5,Mo̱itos,582.0,4942.0,191.0
23.555,Planeta Rica,1481.0,6655.02,1727.0
23.57,Pueblo Nuevo,513.0,4856.338,550.0
23.574,Puerto Escondido,264.0,3891.0,241.0
23.58,Puerto Libertador,2356.0,11112.842,1842.0
23.586,Purisima,90.0,603.0,147.0
23.66,Sahagun,353.0,3280.0,824.0
23.67,San Andres Sotavento,147.0,4579.0,551.0
23.672,San Antero,312.0,2093.0,344.0
23.675,San Bernardo Del Viento,857.0,5234.0,293.0
23.678,San Carlos,367.0,2373.0,273.0
23.682,San Jose de Ure,2033.0,9853.004,407.0
23.686,San Pelayo,198.0,3748.0,728.0
23.807,Tierralta,3453.0,16911.382,2418.089
23.815,Tuchin,265.0,1508.0,137.0
23.855,Valencia,1141.0,9506.446,1556.0
25.001,Agua De Dios,10.0,354.0,174.0
25.019,Alban,40.0,784.0,167.0
25.035,Anapoima,37.0,366.0,75.0
25.04,Anolaima,22.0,506.0,113.0
25.053,Arbelaez,66.0,1185.0,203.0
25.086,Beltran,41.0,587.0,109.0
25.095,Bituima,13.0,341.0,91.0
25.099,Bojaca,1.0,74.0,47.0
25.12,Cabrera,170.0,2318.0,182.0
25.123,Cachipay,25.0,221.0,32.0
25.126,Cajica,23.0,131.0,35.0
25.148,Caparrapi,231.0,4712.964,840.0
25.151,Caqueza,26.0,290.0,94.0
25.154,Carmen De Carupa,0.0,51.0,2.0
25.168,Chaguani,146.0,1533.0,231.0
25.175,Chia,38.0,124.0,79.0
25.178,Chipaque,22.0,242.0,114.0
25.181,Choachi,14.0,90.0,20.0
25.183,Choconta,1.0,103.0,26.0
25.2,Cogua,0.0,18.0,3.0
25.214,Cota,10.0,33.0,28.0
25.224,Cucunuba,2.0,15.0,0.0
25.245,El Colegio,63.0,1192.0,191.0
25.258,El Pe̱on,99.0,3075.0,327.0
25.26,El Rosal,9.0,45.0,6.0
25.269,Facatativa,63.0,433.0,196.0
25.279,Fomeque,9.0,247.0,41.0
25.281,Fosca,7.0,224.0,25.0
25.286,Funza,54.0,141.0,20.0
25.288,Fuquene,0.0,5.0,4.0
25.29,Fusagasuga,304.0,2638.0,938.0
25.293,Gachala,46.0,682.0,126.0
25.295,Gachancipa,10.0,14.0,0.0
25.297,Gacheta,44.0,567.0,172.0
25.299,Gama,10.0,172.0,69.0
25.307,Girardot,109.0,787.0,259.0
25.312,Granada,27.0,184.0,48.0
25.317,Guacheta,15.0,79.0,24.0
25.32,Guaduas,151.0,2135.0,693.0
25.322,Guasca,4.0,84.0,42.0
25.324,Guataqui,19.0,148.0,0.0
25.326,Guatavita,4.0,28.0,16.0
25.328,Guayabal De Siquima,51.0,930.0,215.0
25.335,Guayabetal,59.0,1512.0,138.0
25.339,Gutierrez,53.0,807.0,122.0
25.368,Jerusalen,44.0,464.0,70.0
25.372,Junin,29.0,424.0,74.0
25.377,La Calera,8.0,162.0,32.0
25.386,La Mesa,69.0,893.0,221.0
25.394,La Palma,586.0,3170.505,1200.0
25.398,La Pe̱a,308.0,1716.0,242.0
25.402,La Vega,10.0,217.0,63.0
25.407,Lenguazaque,10.0,27.0,4.0
25.426,Macheta,3.0,207.0,60.0
25.43,Madrid,43.0,141.0,40.0
25.436,Manta,0.0,139.0,22.0
25.438,Medina,363.0,3748.326,752.0
25.473,Mosquera,62.0,165.0,55.0
25.483,Nari̱o,13.0,77.0,1.0
25.486,Nemocon,3.0,17.0,10.0
25.488,Nilo,19.0,98.0,38.0
25.489,Nimaima,29.0,397.0,95.0
25.491,Nocaima,7.0,175.0,38.0
25.506,Venecia,80.0,1208.0,172.0
25.513,Pacho,94.0,1380.0,390.0
25.518,Paime,95.0,1145.0,261.0
25.524,Pandi,70.0,1630.0,64.0
25.53,Paratebueno,139.0,1608.0,521.0
25.535,Pasca,118.0,1109.0,103.0
25.572,Puerto Salgar,50.0,730.0,284.0
25.58,Puli,61.0,1693.0,151.0
25.592,Quebradanegra,17.0,950.0,149.0
25.594,Quetame,5.0,205.0,28.0
25.596,Quipile,89.0,1977.0,339.0
25.599,Apulo,42.0,491.0,81.0
25.612,Ricaurte,5.0,64.0,57.0
25.645,San Antonio Del Tequendama,14.0,257.0,73.0
25.649,San Bernardo,32.0,780.0,117.0
25.653,San Cayetano,26.0,318.0,61.0
25.658,San Francisco,6.0,138.0,46.0
25.662,San Juan De Rio Seco,163.0,3040.0,321.0
25.718,Sasaima,49.0,763.0,134.0
25.736,Sesquile,13.0,64.0,24.0
25.74,Sibate,62.0,343.0,104.0
25.743,Silvania,228.0,3798.0,853.0
25.745,Simijaca,2.0,69.0,0.0
25.754,Soacha,710.0,4254.0,1440.0
25.758,Sopo,14.0,69.0,16.0
25.769,Subachoque,10.0,55.0,6.0
25.772,Suesca,9.0,11.0,8.0
25.777,Supata,12.0,115.0,65.0
25.779,Susa,2.0,20.0,0.0
25.781,Sutatausa,1.0,0.0,0.0
25.785,Tabio,0.0,33.0,13.0
25.793,Tausa,2.0,23.0,21.0
25.797,Tena,6.0,154.0,25.0
25.799,Tenjo,8.0,45.0,28.0
25.805,Tibacuy,179.0,1586.0,181.0
25.807,Tibirita,2.0,58.0,10.0
25.815,Tocaima,38.0,730.0,150.0
25.817,Tocancipa,11.0,38.0,43.0
25.823,Topaipi,449.0,3498.0,353.0
25.839,Ubala,111.0,1019.0,203.0
25.841,Ubaque,19.0,244.0,56.0
25.843,Villa De San Diego De Ubate,9.0,103.0,41.0
25.845,Une,168.0,483.0,71.0
25.851,Utica,57.0,771.0,188.0
25.862,Vergara,87.0,1163.0,434.0
25.867,Viani,34.0,666.0,108.0
25.871,Villagomez,125.0,559.0,87.0
25.873,Villapinzon,23.0,788.0,69.0
25.875,Villeta,55.0,1208.0,390.0
